ID;NOM;TYPE;PROP_VEGE_HAUTE;ADRESSE;ARRONDISSEMENT;OUVERTURE;OUVERTURE_24H;OUVERTURE_CANICULE;HORAIRES_LUNDI;HORAIRES_MARDI;HORAIRES_MERCREDI;HORAIRES_JEUDI;HORAIRES_VENDREDI;HORAIRES_SAMEDI;HORAIRES_DIMANCHE;LATITUDE;LONGITUDE
28;Bois de Boulogne;Bois;85.85304300000001;;75016;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;;
29;;;;;;;;;;;;;;;;;
30;Bois de Boulogne;Bois;47.654137;;75016;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8755744178;2.25821518353
31;Bois de Vincennes;Bois;60.4395;;75012;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8441043;2.42254997252
32;Bois de Vincennes;Bois;38.278359;;75012;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8353039463;2.45518589985
33;JARDIN LEON ZYGUEL;Promenades ouvertes;10.0;77 RUE PIXERECOURT;75020;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8744242088;2.39534750324
34;COULEE VERTE RENE DUMONT - PROMENADE DE L'AVENUE EMILE LAURENT;Promenades ouvertes;75.50923900000001;2 AV EMILE LAURENT;75012;Ouvert;Non;Non;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;09:00 - 19:00;09:00 - 19:00;48.8408260286;2.41174162902
35;JARDIN DU MONUMENT RONSARD;Promenades ouvertes;0.0;43 B RUE ECOLES;75005;;Oui;Non;;;;;;;;48.8489958706;2.34633256278
36;Bois de Vincennes;Bois;67.70368500000001;;75012;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8329745254;2.42564362108
37;Bois de Vincennes;Bois;94.94104800000001;;75012;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8404633835;2.44864699927
38;JARDIN MARIELLE-FRANCO;Promenades ouvertes;10.0;46 RUE D' ALSACE;75010;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8790934412;2.35902991352
39;JARDIN NELSON MANDELA;Promenades ouvertes;40.0;32 RUE BERGER;75001;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8625729916;2.34452446302
40;Square Pierre SEGHERS;Promenades ouvertes;6.197061000000001;22 RUE HELENE JAKUBOWICZ;75020;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8698280622;2.3982502659
41;JARDIN DES GRANDS MOULINS - ABBE PIERRE - JARDIN DE L'AVENUE DE FRANCE;Promenades ouvertes;11.733602;25 RUE MARIE ANDREE LAGROUA WEILL HALLE;75013;Ouvert;Oui;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8289592126;2.37925094808
42;PROMENADE JANE ET PAULETTE NARDAL;Promenades ouvertes;26.0;98 RUE DIDOT;75014;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8274521186;2.31289372375
43;CIMETIERE DE VAUGIRARD;Cimetières;3.659926;320, rue Lecourbe;75015;Ouvert;Non;Non;08:00 - 12:00;08:00 - 12:00;08:00 - 12:00;08:00 - 12:00;08:00 - 12:00;08:30 - 12:00;09:00 - 12:00;48.8383651325;2.28463796218
44;SQUARE CAMBRONNE;Promenades ouvertes;57.31797400000001;3 RUE ALEXANDRE CABANEL;75015;Ouvert;Non;Non;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8480993098;2.30250829646
45;SQUARE DE LA PLACE DE LA REUNION;Promenades ouvertes;0.118805;74 RUE REUNION;75020;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8560902651;2.40130230155
46;SQUARE MARCEL PAGNOL;Promenades ouvertes;42.844864;1 PL HENRI BERGSON;75008;Ouvert;Non;Oui;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;09:00 - 19:00;09:00 - 19:00;48.8759490395;2.32038170148
47;La Chesnay du Roy;Bois;41.397247;Route de la Pyramide;75012;;Non;Non;;;;;;;;48.8379703722;2.44061066376
48;Chalet des Pelouses d'Auteuil;Bois;22.132825;23 w Route de Boulogne à Passy;75016;;Non;Non;;;;;;;;48.8505524971;2.24993531204
49;JARDINIERES DE LA PLACE DE LA NATION (12eme);Décorations sur la voie publique;9.861314;2   PLACE DE LA NATION;75012;;Oui;Non;;;;;;;;48.847864113;2.3958584566
50;PROMENADE DE L'ALLEE DES CYGNES;Promenades ouvertes;41.408976;4 V ALL CYGNES;75015;;Oui;Non;;;;;;;;48.8529503599;2.28385284921
51;SQUARE DE LA TOUR SAINT-JACQUES;Promenades ouvertes;21.498747;1 B RUE SAINT MARTIN;75004;Ouvert;Non;Non;08:00 - 18:30;08:00 - 18:30;08:00 - 18:30;08:00 - 18:30;08:00 - 18:30;09:00 - 18:30;09:00 - 18:30;48.8579000203;2.34874372783
52;Bois de Boulogne;Bois;43.724849999999996;;75016;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8776903569;2.25849491434
53;Bois de Vincennes;Bois;79.87497;;75012;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;;
54;;;;;;;;;;;;;;;;;
55;JARDIN ALLERAY - PROCESSION;Promenades ouvertes;50.02396100000001;79 RUE ALLERAY;75015;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8367149571;2.3083221691
56;JARDIN DU LUXEMBOURG;Jardins d'Etat;39.898284000000004;;75006;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8465018117;2.33590736301
57;JARDIN GEORGES DUHAMEL;Promenades ouvertes;21.262306;5 RUE CHODERLOS LACLOS;75013;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8320490381;2.37819684341
58;SQUARE NICOLE DE HAUTECLOCQUE;Promenades ouvertes;2.68898;1 PL ALFRED SAUVY;75015;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8522609715;2.29430627673
59;Chalet des Gaufres;Bois;29.869423;146 w Route de la Tourelle;75012;;Non;Non;;;;;;;;48.8422479722;2.4240706793
60;La Cipale;Bois;8.475508;Avenue de Gravelle;75012;;Non;Non;;;;;;;;48.8256189791;2.41160709922
61;Les Bosquettes Butte Mortemart;Bois;0.0;43  Route de la Seine à la Butte Mortemart;75016;;Non;Non;;;;;;;;48.8516955224;2.23867866718
62;Théâtre Astral;Bois;27.144489;Parc Floral, aire de jeux;75012;;Non;Non;;;;;;;;48.8383088752;2.4465326148
63;SEPE, Garage train;Bois;0.0;Parc Floral;75012;;Non;Non;;;;;;;;48.8365435958;2.44840214075
64;Chalet de vente n° 5 - Ceinture du Lac;Bois;38.349371999999995;31 Route de Ceinture du Lac Daumesnil;75012;;Non;Non;;;;;;;;48.8334752795;2.41250452575
