ID;NOM;TYPE;PAYANT;ADRESSE;ARRONDISSEMENT;OUVERTURE;HORAIRES_LUNDI;HORAIRES_MARDI;HORAIRES_MERCREDI;HORAIRES_JEUDI;HORAIRES_VENDREDI;HORAIRES_SAMEDI;HORAIRES_DIMANCHE;LATITUDE;LONGITUDE
182;Eglise Saint-Roch;Lieux de culte;Non;296  RUE SAINT-HONORE;75001;;;;;;;;;48.8653653364;2.33265199216
183;Musée de la Contrefaçon;Musée;Oui;16 Rue de la Faisanderie;75016;;;;;;;;;48.8703148938;2.27660855991
184;Chapelle du Corpus Christi;Lieux de culte;Non;23  AV FRIEDLAND;75008;;;;;;;;;48.8741780142;2.30197589234
185;Eglise Sainte-Marie Mediatrice;Lieux de culte;Non;48b BD SERURIER;75019;;;;;;;;;48.8792145772;2.40270079716
186;Musée National Henner;Musée;Oui;43 avenue de Villiers;75017;;;;;;;;;48.8829357115;2.30763378287
187;Bibliothèque Parmentier;Bibliothèque;Non;20 bis avenue Parmentier;75011;Fermé;;14:00 - 18:00;14:00 - 18:00;14:00 - 18:00;14:00 - 18:00;12:00 - 17:00;;48.86021539;2.37914365512
188;Terrain de boules Télégraphe;Terrain de boules;Non;46  rue du telegraphe;75020;Ouvert;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;10:00 - 18:00;48.8750161253;2.39944283955
189;MAIRIE DU 17E;Mairie d'arrondissement;Non;16 RUE DES BATIGNOLLES;75017;Fermé;8h30 - 17h;8h30 - 17h;8h30 - 17h;12:00 - 17:00;16:00 - 17:00;9h - 12h30;Fermé;48.8843196288;2.32211346498
190;Mosquée de Paris;Lieux de culte;Non;2  RUE GEORGES DESPLAS;75005;;;;;;;;;48.8420719967;2.35509716616
191;Chapelle Sainte-Bernadette;Lieux de culte;Non;4  RUE AUTEUIL;75016;;;;;;;;;48.8478846803;2.26878427893
192;Eglise Italienne Notre-Dame de la Consolation;Lieux de culte;Non;23  RUE JEAN GOUJON;75008;;;;;;;;;48.8654833538;2.30608676234
193;Petit Palais - Musée des beaux-arts de la Ville de Paris;Musée;Non;Avenue Winston Churchill;75008;Fermé;;10:00 - 18:00;10:00 - 18:00;10:00 - 18:00;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;48.8660332596;2.31457254893
194;Eglise de la Madeleine;Lieux de culte;Non;1  PL MADELEINE;75008;;;;;;;;;48.8700268315;2.32446139366
195;Brumisateur Square de la Marseillaise;Brumisateur;Non;7 rue de la Marseillaise;75019;Ouvert;;;;;;;;48.8872103502;2.39758787005
196;Brumisateur Square Sarah Bernhardt;Brumisateur;Non;13 rue Mounet Sully;75020;Ouvert;;;;;;;;48.8493197165;2.40417992371
