ID;TYPE;MODELE;VOIE;COMMUNE;DISPONIBILITE;DEBUT_INDISPO;FIN_INDISPO;MOTIF_INDISPO;LATITUDE;LONGITUDE
181;FONTAINE_BOIS;GHM Bois;AVENUE DE LA PTE DE SAINT OUEN;PARIS 18EME ARRONDISSEMENT;NON;2020-12-10T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8995020904;2.33107835937
182;FONTAINE_BOIS;GHM Bois;RUE PIXERECOURT;PARIS 20EME ARRONDISSEMENT;OUI;;;;48.8733372825;2.39618922043
183;FONTAINE_BOIS;Particulier;RUE DU TELEGRAPHE;PARIS 20EME ARRONDISSEMENT;NON;2020-12-09T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.875297032;2.39938395143
184;FONTAINE_BOIS;GHM Bois;RUE DES ARENES;PARIS 5EME ARRONDISSEMENT;NON;2021-02-09T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8452869947;2.35359414912
185;FONTAINE_BOIS;Ville de Paris Bois;AVENUE DE L HIPPODROME;PARIS 16EME ARRONDISSEMENT;OUI;;;;48.8586844322;2.25735488149
186;FONTAINE_BOIS;GHM Bois;SQUARE LAURENT PRACHE;PARIS 6EME ARRONDISSEMENT;NON;2020-12-04T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.854177612;2.33391793105
187;FONTAINE_BOIS;GHM Bois;RUE DU MONTPARNASSE;PARIS 6EME ARRONDISSEMENT;OUI;;;;48.8432835002;2.32743036757
188;FONTAINE_BOIS;GHM Bois;PLACE DU PRESIDENT MITHOUARD;PARIS 7EME ARRONDISSEMENT;NON;2020-12-08T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8509466907;2.31303951073
189;FONTAINE_BOIS;GHM Bois;PARC DES BUTTES CHAUMONT;PARIS 19EME ARRONDISSEMENT;NON;2020-12-07T02:00:00+01:00;;FERMETURE HIVERNALE;48.8767572077;2.38054778241
190;FONTAINE_BOIS;GHM Bois;SQUARE HENRI COLLET;PARIS 16EME ARRONDISSEMENT;OUI;;;;48.8515199054;2.27531311917
191;FONTAINE_BOIS;GHM Bois;RUE ROUVET;PARIS 19EME ARRONDISSEMENT;NON;2020-12-04T02:00:00+01:00;;FERMETURE HIVERNALE;48.8938521975;2.38406848838
192;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;SQUARE BRIGNOLE GALLIERA;PARIS 16EME ARRONDISSEMENT;NON;2020-12-01T02:00:00+01:00;2021-03-31T04:00:00+02:00;FERMETURE HIVERNALE;48.8651523996;2.29724429713
193;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;AVENUE DU RANELAGH;PARIS 16EME ARRONDISSEMENT;OUI;;;;48.8585491329;2.26867551629
194;FONTAINE_BOIS;GHM Bois;AVENUE DAUMESNIL;PARIS 12EME ARRONDISSEMENT;NON;2020-12-22T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8435575473;2.38372383683
195;FONTAINE_BOIS;GHM Bois;RUE DU SIMPLON;PARIS 18EME ARRONDISSEMENT;OUI;;;;48.8941245639;2.34971969386
196;FONTAINE_BOIS;Ville de Paris Bois;ROUTE DES TRIBUNES;PARIS 16EME ARRONDISSEMENT;NON;2020-11-18T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8527519071;2.22975927143
197;FONTAINE_BOIS;GHM Bois;RUE COMPANS;PARIS 19EME ARRONDISSEMENT;NON;2020-12-07T02:00:00+01:00;;FERMETURE HIVERNALE;48.8787017372;2.39377182835
198;FONTAINE_BOIS;GHM Bois;RUE LE VAU;PARIS 20EME ARRONDISSEMENT;NON;2020-12-03T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8654707674;2.41108378207
199;FONTAINE_BOIS;;JARDIN DE L OBSERATOIRE DE PARIS;PARIS 14EME ARRONDISSEMENT;OUI;;;;48.8369662843;2.3296306569
200;FONTAINE_BOIS;Bayard BF3;RUE GILBERT CESBRON;PARIS 17EME ARRONDISSEMENT;NON;2020-12-11T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8923969237;2.31207878833
201;FONTAINE_BOIS;GHM Bois;AVENUE CHANTEMESSE;PARIS 16EME ARRONDISSEMENT;OUI;;;;48.8669822337;2.27060567418
202;FONTAINE_BOIS;Ville de Paris Bois;CHEMIN CEINTURE LAC SUPERIEUR;PARIS 16EME ARRONDISSEMENT;NON;2020-11-16T02:00:00+01:00;2021-04-13T04:00:00+02:00;FERMETURE HIVERNALE;48.855409964;2.25868449129
203;FONTAINE_BOIS;Bayard D1;RUE ERNEST GOUIN;PARIS 17EME ARRONDISSEMENT;OUI;;;;48.8938354709;2.3183884154
204;FONTAINE_BOIS;Santa Cole Atlantida;ALLEE COLETTE HEILBRONNER;PARIS 17EME ARRONDISSEMENT;NON;2020-12-11T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8928732831;2.31184089686
205;FONTAINE_BOIS;Particulier;RUE MOUNET SULLY;PARIS 20EME ARRONDISSEMENT;NON;2020-12-04T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8496065876;2.40454994624
206;FONTAINE_BOIS;GHM Bois;RUE FERNAND FOUREAU;PARIS 12EME ARRONDISSEMENT;NON;2020-12-10T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8463693552;2.41156426101
207;FONTAINE_BOIS;;CIMETIERE PARISIEN DE BAGNEUX;BAGNEUX;NON;2020-11-24T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8096877634;2.31616432705
208;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2020-11-23T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.7615528893;2.37475404586
209;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2020-11-24T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.7623905818;2.37631741985
210;FONTAINE_BOIS;Bayard BF3;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;NON;2020-11-25T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.9055993922;2.40596991436
211;FONTAINE_BOIS;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;NON;2020-11-25T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.9061506881;2.40835743941
212;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2020-11-24T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.7633945882;2.3796815502
213;FONTAINE_BOIS;;CIMETIERE PARISIEN DE SAINT-OUEN;SAINT-OUEN;NON;2020-11-25T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.9093509105;2.3511286556
214;FONTAINE_TOTEM;Fontaine Totem;QUAI D ORSAY;PARIS 7EME ARRONDISSEMENT;NON;2020-12-14T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8630514112;2.31636413722
215;FONTAINE_TOTEM;Fontaine Totem;QUAI DE L HOTEL DE VILLE;PARIS 4EME ARRONDISSEMENT;NON;2020-12-21T02:00:00+01:00;;FERMETURE HIVERNALE;48.8549681419;2.35283419435
216;FONTNE_WALLACE;Caryatides;AVENUE DES CHAMPS ELYSEES;PARIS 8EME ARRONDISSEMENT;OUI;;;;48.8659006358;2.31874535537
217;FONTNE_WALLACE;Caryatides;RUE ALAIN CHARTIER;PARIS 15EME ARRONDISSEMENT;OUI;;;;48.8375248569;2.29644809924
218;FONTNE_WALLACE;Caryatides;RUE DE LA TOMBE ISSOIRE;PARIS 14EME ARRONDISSEMENT;OUI;;;;48.827699511;2.33230031031
219;FONTNE_WALLACE;Caryatides;PLACE AIME MAILLART;PARIS 17EME ARRONDISSEMENT;OUI;;;;48.8815269774;2.29546018093
220;FTNE_MILLENAIRE;Fontaine du Millénaire;QUAI FRANCOIS MAURIAC;PARIS 13EME ARRONDISSEMENT;OUI;;;;48.8354848549;2.37543902844
221;FTNE_MILLENAIRE;Fontaine du Millénaire;PLACE DU PARVIS NOTRE DAME;PARIS 4EME ARRONDISSEMENT;NON;2019-05-07T04:00:00+02:00;;APP SUR CHANTIER;48.8536170491;2.34905844432
222;FTNE_PETILLANTE;Fontaine pétillante;BOULEVARD VOLTAIRE;PARIS 11EME ARRONDISSEMENT;OUI;;;;48.8607614662;2.37482623073
223;BORNE_FONTAINE;GHM Ville de Paris;QUAI DE LA CORSE;PARIS 4EME ARRONDISSEMENT;OUI;;;;48.855658319;2.34812539513
224;BORNE_FONTAINE;GHM Ville de Paris;RUE DES HAUDRIETTES;PARIS 3EME ARRONDISSEMENT;OUI;;;;48.8617606095;2.35704360361
225;FONTAINE_ARCEAU;Fontaine Arceau;RUE LEGENDRE;PARIS 17EME ARRONDISSEMENT;OUI;;;;48.892843857;2.32715986467
226;FONTAINE_ARCEAU;Fontaine Arceau;AVENUE DE FRANCE;PARIS 13EME ARRONDISSEMENT;OUI;;;;48.8311296217;2.37465993763
